id,dd,cc
1540201,2000-12-31,5d82db080a715984cf1a98345a15d109                                                                    
1540202,2000-12-31,6e70859720f8fbbca0fb11242e9685ad                                                                    
1540203,2000-12-31,79aaf4415fd020278ef05b981fc77e45                                                                    
1540204,2000-12-31,5afc3fcafa2e2f72305e7b14177e2b5f                                                                    
1540205,2000-12-31,0d8161fbd5527c86fafe320cb4281719                                                                    
1540206,2000-12-31,d0f35a390708de1d13b5475ee911dc09                                                                    
1540207,2000-12-31,19ec85df2f5d2f18ae121bbe270873f3                                                                    
1540208,2000-12-31,f33dbe083bc7595b5e4ff81cbdd27042                                                                    
1540209,2000-12-31,2f90626a9eb10fbf77d7f26be906dc8f                                                                    
1540210,2000-12-31,314a8cd5837c9414ea179df56f11cca0                                                                    
1540211,2000-12-31,d683f0a60a812dcf57ed40742c0efedf                                                                    
1540212,2000-12-31,586fdfe215960cbea2c76c5c43f515ba                                                                    
1540213,2000-12-31,f1fff980c55d9e639bc7d5fdac38ac48                                                                    
1540214,2000-12-31,2295bef9b1a46744ae023cb9a2dfe521                                                                    
1540215,2000-12-31,3579fdbcda0b2f13529e10cb193d8147                                                                    
1540216,2000-12-31,1ff2fa3345dba6281e4a3caab102a182                                                                    
1540217,2000-12-31,adc6fa00644725088c519517c849ea16                                                                    
1540218,2000-12-31,57f55e754dc3da694a3482ad727f5429                                                                    
1540219,2000-12-31,bf662326e360472b74547ccf0b0e9c1c                                                                    
1540220,2000-12-31,e031d95b2487200558f4b048a643a6d3                                                                    
1540221,2000-12-31,71a4b5fbd1d44aa2a7a83aa7440089d9                                                                    
1540222,2000-12-31,38a9e918ea000b41c02ac9c9c3d3c04c                                                                    
1540223,2000-12-31,24cb1899e759e02006ddae0c19dc3e75                                                                    
1540224,2000-12-31,4ecec5fe3aacb64aec046a71f2af9f2e                                                                    
1540225,2000-12-31,90373523ccc917f821d50bc03840a7ce                                                                    
1540226,2000-12-31,5e16c9c1dc05a5ee84fdeabbd7793732                                                                    
1540227,2000-12-31,3bc7da55de57ee95f74ce95549845cc3                                                                    
1540228,2000-12-31,422c473adef56ce518cb71254a709797                                                                    
1540229,2000-12-31,e73a2e0b2db50ea3b9e03b9f8aed5f3a                                                                    
1540230,2000-12-31,dbdbbe121aa6c6ffe8344ed041ec88fe                                                                    
1540231,2000-12-31,2b509718d51c79316bf5a0955552dd93                                                                    
1540232,2000-12-31,2d39467ba2a107bae83ae3f5109ad7a0                                                                    
1540233,2000-12-31,2be59a66f065f83e475db28f0e691858                                                                    
1540234,2000-12-31,43a4dc0d16c4b8dc5c48d3d2f3071649                                                                    
1540235,2000-12-31,de8799183ede332cd6e72d32a31d8deb                                                                    
1540236,2000-12-31,cfc2d327d92a17e69caa40dbe5ba0d17                                                                    
1540237,2000-12-31,92319c5a462b51222c838a1b45bd32a8                                                                    
1540238,2000-12-31,f817ca802b701ce773a86846dcfcece3                                                                    
1540239,2000-12-31,411b1b1a3d42f70a08aa7b0373a8d4de                                                                    
1540240,2000-12-31,990e7acdaeb0b7ae2a87bcffc61be86f                                                                    
1540241,2000-12-31,a95ec48e8f10533409a320351d17a06b                                                                    
1540242,2000-12-31,6c9489e673365181531d904cac81c11e                                                                    
1540243,2000-12-31,5e3cde54c9756db994e588a6d11e060a                                                                    
1540244,2000-12-31,55cd2c192c2cc7b0c451004205a6be69                                                                    
1540245,2000-12-31,ca49a3eef9ac714fa2b8b9a19819a95e                                                                    
1540246,2000-12-31,f5ae3665a5c1b37efb4cc8f8f7b985a1                                                                    
1540247,2000-12-31,d100b86776ca68f741a0970f7c3923cc                                                                    
1540248,2000-12-31,412d06e9f51556e039f6b97dc369f2f3                                                                    
1540249,2000-12-31,35bbd2a461162cd6c766c8b73ab2fda1                                                                    
1540250,2000-12-31,d6ee34b30ed26335166d06c64e515977                                                                    
1540251,2000-12-31,24bd48ac43e53193808ceaa99327ec32                                                                    
1540252,2000-12-31,a4f0c1ad236adc905cf9210f9d8a45b5                                                                    
1540253,2000-12-31,20e68f68febb84fe0f52a3a0fa363c98                                                                    
1540254,2000-12-31,e53694346d8d4ec8a76cd64e967580c6                                                                    
1540255,2000-12-31,234689c0370262661132543b93bc1dd5                                                                    
1540256,2000-12-31,20c46921d06fd742566820deb238ddaf                                                                    
1540257,2000-12-31,8c03cf5dd4c864ec8b6b809b50b15887                                                                    
1540258,2000-12-31,7f8adaf005c2c38507bc1926489b752d                                                                    
1540259,2000-12-31,dbf288bbf242741f187b622b5ef41ba4                                                                    
1540260,2000-12-31,c75415cf6a0ae20a75a69777db59759c                                                                    
1540261,2000-12-31,dc1f18f4736517ee01aa071ec0509bff                                                                    
1540262,2000-12-31,82c4949184556180660297b11cbb527c                                                                    
1540263,2000-12-31,0b31cbe5564dd4399196f2d5b25f6cd3                                                                    
1540264,2000-12-31,0b08552456ebcccb1cfd7cc9e75176de                                                                    
1540265,2000-12-31,a244a2d53734992228af25818be69c62                                                                    
1540266,2000-12-31,f6cac0a2feca979e72a571f9e51835b6                                                                    
1540267,2000-12-31,6f784afb356455ec8d0ca3c323f44025                                                                    
1540268,2000-12-31,58ecd6838a5b39a1d55bf44051db2ccb                                                                    
1540269,2000-12-31,efff92e6241b1312424799b18ccad75c                                                                    
1540270,2000-12-31,0a48d5bbb723948c38b08a7b6ef196da                                                                    
1540271,2000-12-31,1dbb7de60b7a633eac7b961a2d3f816f                                                                    
1540272,2000-12-31,42d817f9632f181b7b124ed7e7e7a6b9                                                                    
1540273,2000-12-31,51b00bb1795f5f2cadac5010c9b5227a                                                                    
1540274,2000-12-31,b788ca590a2b70f243321c09d6a8e76f                                                                    
1540275,2000-12-31,978a70799e7577d6325d352d91fb5274                                                                    
1540276,2000-12-31,7722194e0b2a3539b55345b0eb0d3646                                                                    
1540277,2000-12-31,a8384fcf0c378529d3e8763f336c3b6c                                                                    
1540278,2000-12-31,23928d4aaba2c81201631b94988fdb51                                                                    
1540279,2000-12-31,acd7677a59123107a504499fac22494d                                                                    
1540280,2000-12-31,c132ad46c06c0bca12dca25c4776dc2e                                                                    
1540281,2000-12-31,30ec6a9bead9e4733249efbc35b8fab9                                                                    
1540282,2000-12-31,5ba0755339895ae3a3713316e80e6f99                                                                    
1540283,2000-12-31,ac75ccea25cff1302c1b80fc39fe67e1                                                                    
1540284,2000-12-31,6ca330f21d5c956c7c05dc5294496e93                                                                    
1540285,2000-12-31,f33dea0fa484c0dce00a489e3a246ba4                                                                    
1540286,2000-12-31,75e423b14bb3a81f721e880e45b57900                                                                    
1540287,2000-12-31,760b55b5724889f0e19c9289cbde8fcf                                                                    
1540288,2000-12-31,c5b3e9e47e6e8f61426d7d2a414d4d5e                                                                    
1540289,2000-12-31,7509f8487b6a8e2bbaa89a827f94c9c0                                                                    
1540290,2000-12-31,d285e4f7f7e5922e40c3ffc0e99b1a8a                                                                    
1540291,2000-12-31,102a5f8dc55e1ad639590a99155cde8c                                                                    
1540292,2000-12-31,5251413ca6c945e1fbab7797507b20d2                                                                    
1540293,2000-12-31,7c02a7c042ec3bcbfc2fecccd08f5da7                                                                    
1540294,2000-12-31,dfa56d0e21fa78c19c45788aa08413b0                                                                    
1540295,2000-12-31,dfdbc3836b023b696d8fe6f704c0c55c                                                                    
1540296,2000-12-31,693ec496691f01549df73eaacdb5e156                                                                    
1540297,2000-12-31,5fa6d305711c9389647218523bf89c3a                                                                    
1540298,2000-12-31,ea43da5e37e5d11cee3c4b5f9b6d3490                                                                    
1540299,2000-12-31,2086fde61b3e0a52353d13a7c39cbf11                                                                    
1540300,2000-12-31,e3856c2996634473964672f343bd6c01                                                                    
